source_id,section_name,thermal_role,Q_section_w,T_bulk_section_k,T_wall_section_k,T_amb_section_k,R_fluid_to_wall_K_per_W,R_wall_to_ambient_K_per_W,R_fluid_to_ambient_K_per_W,mean_p_rgh_pa,patch_count,area_total_m2
val_salt_test_2_coarse_mesh_laminar,cooling_branch,cooling_branch,-136.35074,454.7366075909891,,343.315,,,0.8171690714035661,15.568233563326894,3,0
val_salt_test_2_coarse_mesh_laminar,heater_branch,heater,244.68314879999997,454.7575496018523,,300.0,,,0.6324814371599763,0.5058372630477427,3,0
val_salt_test_2_coarse_mesh_laminar,junctions,junction,-40.9506066794,,,300.0,,,,,21,0
val_salt_test_2_coarse_mesh_laminar,left_transport,transport,-19.199093379929998,459.805737032634,,300.0,,,8.32360850953977,-12.573998307152175,6,0
val_salt_test_2_coarse_mesh_laminar,lower_transport,transport,-6.3610423636,454.7575496018523,,300.0,,,24.328960688491318,0.5058372630477427,6,0
val_salt_test_2_coarse_mesh_laminar,right_transport,transport,-22.148206689,449.606245295017,,300.0,,,6.754779174483665,4.869750832890784,3,0
val_salt_test_2_coarse_mesh_laminar,test_section_branch,test_section,-7.326058396,459.80573703263394,,300.0,,,21.813331043045913,-12.573998307152175,1,0
val_salt_test_2_coarse_mesh_laminar,upper_transport,transport,-11.827963612999998,454.7366075909891,,300.0,,,13.082269497423852,15.568233563326894,6,0
viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch,cooling_branch,-150.76963870000003,462.1768267380764,,347.77,,,0.7588187364813018,19.408827144251816,3,0
viscosity_screening_salt_test_3_jin_coarse_mesh,heater_branch,heater,273.28549393000003,462.2741160696352,,300.0,,,0.5937897168855969,1.1491716577829867,3,0
viscosity_screening_salt_test_3_jin_coarse_mesh,junctions,junction,-43.388326067200005,,,300.0,,,,,21,0
viscosity_screening_salt_test_3_jin_coarse_mesh,left_transport,transport,-21.94500801107,467.37527247237614,,300.0,,,7.627031732590158,-11.50568018249214,6,0
viscosity_screening_salt_test_3_jin_coarse_mesh,lower_transport,transport,-7.2843608153999995,462.2741160696352,,300.0,,,22.277056310358567,1.1491716577829865,6,0
viscosity_screening_salt_test_3_jin_coarse_mesh,right_transport,transport,-25.193505609,456.9902600438907,,300.0,,,6.231378136903993,6.650727639260356,3,0
viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_branch,test_section,-10.24342229,467.37527247237614,,300.0,,,16.339780566869138,-11.505680182492139,1,0
viscosity_screening_salt_test_3_jin_coarse_mesh,upper_transport,transport,-13.4887361561,462.1768267380764,,300.0,,,12.023129881203532,19.408827144251816,6,0
val_water_test_1_coarse_mesh_laminar,cooling_branch,cooling_branch,-30.3939593874,314.9397832809105,312.6473522123558,300.47999999999996,0.07542390378744153,0.40032139469791866,0.47574529848536024,2.063483988205988,3,0.02977851511
val_water_test_1_coarse_mesh_laminar,heater_branch,heater,53.43875844,315.0327811581621,317.43100896666664,298.0,0.04487806001700483,0.36361265744007504,0.3187345974230702,-0.1980801039470712,3,0.045786418110000004
val_water_test_1_coarse_mesh_laminar,junctions,junction,-6.142981639319999,,313.6576450231716,298.0,,2.548867299708359,,,21,0.042834056290200005
val_water_test_1_coarse_mesh_laminar,left_transport,transport,-4.52175686772,315.80348166726213,315.31560997036746,298.0,0.10789427896433337,3.829398721983584,3.9372930009479177,-1.0720411593960713,6,0.050313117345400005
val_water_test_1_coarse_mesh_laminar,lower_transport,transport,-1.55224731167,315.0327811581621,315.18752233824983,298.0,0.09968848322324365,11.072670062967271,10.972981579744026,-0.1980801039470712,6,0.0165637780439
val_water_test_1_coarse_mesh_laminar,right_transport,transport,-5.070428153,314.2720802571683,313.9452513999802,298.0,0.06445784208474208,3.144754430756684,3.2092122728414263,0.12378432163124208,3,0.06343500109
val_water_test_1_coarse_mesh_laminar,test_section_branch,test_section,-2.783556867,315.8034816672622,314.8683562,298.0,0.3359462414252865,6.060000569767412,6.395946811192699,-1.0720411593960713,1,0.01225844912
val_water_test_1_coarse_mesh_laminar,upper_transport,transport,-2.7697190940299996,314.9397832809105,314.5513250346784,298.0,0.1402518569732815,5.975813601586543,6.116065458559824,2.063483988205988,6,0.032571681041100004
